firma,ansprechpartner,email,telefon,adresse,stadt,typ,status
Deutsche Immobilien Verwaltung GmbH,,info@d-iv.de,0621 4382-0,,Mannheim,hausverwaltung,pending
HUBER Wohnungseigentumsverwaltung,,info@huber-hausverwaltung-mannheim.de,0621 422720,Augustaanlage 38,Mannheim,hausverwaltung,pending
HVRN Hausverwaltung Rhein-Neckar,,info@hvrn.de,0621 121889390,,Mannheim,hausverwaltung,pending
Clemens & Foh,,kontakt@clemens-foh.de,,Rheinhäuser Straße 55,Mannheim,hausverwaltung,pending
Alpha Real Estate Group,,info@alpha-realestate.de,,Friedrichsplatz 8,Mannheim,hausverwaltung,pending
DOMEX Immobilien-Verwaltung GmbH,,info@domex-iv.de,0621 637481-0,,Mannheim,hausverwaltung,pending
Immobilienverwaltung Heino Mandt GmbH,,info@ma-iv.de,0621 126490,"C 1, 18",Mannheim,hausverwaltung,pending
Immobilienverwaltung Hohenstatt GmbH,,info@ivwh.de,0621 432968-0,,Mannheim,hausverwaltung,pending
Fair verwalten — Hausverwaltung Gans,,gans@fair-verwalten.de,0179-4889771,,Mannheim,hausverwaltung,pending
Prodomo Hausverwaltung GmbH,,info@prodomo-hausverwaltung.de,,Siegmund-Schuckert-Str. 5,Mannheim,hausverwaltung,pending
Haus & Grund Mannheim,,info@haus-und-grund-mannheim.de,,,Mannheim,hausverwaltung,pending
R.E. Immo GmbH,,info@re-immo.de,,,Mannheim,hausverwaltung,pending
ProMaG Hausverwaltung e.K.,,info@promag-online.de,,Dammweg 15,Heidelberg,hausverwaltung,pending
Heidelberger Hausverwaltung GmbH,,vrgoc@heidelberger-hausverwaltung.de,06221/974054,Konrad-Zuse-Ring 25,Heidelberg,hausverwaltung,pending
Die Immobilienverwalter,,heidelberg@die-immobilienverwalter.de,,Im Breitspiel 6a,Heidelberg,hausverwaltung,pending
Hausverwaltung Kraft,,info@hv-kraft.de,,Bergheimer Str. 147f,Heidelberg,hausverwaltung,pending
Gräfer Hausverwaltung GmbH,,info@graefer-hausverwaltung.de,06224-968997-0,,Leimen,hausverwaltung,pending
Hausverwaltung Minerva,,info@hv-minerva.de,06221/7282510,,Heidelberg,hausverwaltung,pending
GM Hausverwaltung GmbH,,info@gm-hv.de,0621 685897-0,Lagerhausstr. 59,Ludwigshafen,hausverwaltung,pending
Haus & Grund Ludwigshafen,,info@haus-und-grund-ludwigshafen.de,,,Ludwigshafen,hausverwaltung,pending
Holtz Hausverwaltung,,info@holtz-hausverwaltung.de,07222 4060100,,Ludwigshafen,hausverwaltung,pending
Krüger Hausverwaltung GmbH,,info@krueger-hausverwaltung-gmbh.de,06232 6913520,Viehtriftstraße 26,Römerberg,hausverwaltung,pending
Deigert Hausverwaltung GmbH,,hausverwaltung@deigert.de,06201/63463,Sigmund-Hirsch-Platz 13,Weinheim,hausverwaltung,pending
HMS Hausverwaltung,,kontakt@hms-hausverwaltung.de,06204 9319619,Ernst Reuter Allee 12a,Viernheim,hausverwaltung,pending
Hirsekorn Hausverwaltungen,,info@hirsekorn-hausverwaltungen.de,06201 258160,Alte Landstraße 23,Weinheim,hausverwaltung,pending
Hausverwaltung Benz und Dippold GmbH,,info@benzunddippold.de,,Wernher von Braun Str. 2,Viernheim,hausverwaltung,pending
PieKo Hausverwaltung GmbH,,info@pieko-hausverwaltung.de,06232 2981140,Wormser Landstraße 247,Speyer,hausverwaltung,pending
Weinschütz-Treuhand GmbH,,info@weinschuetz-treuhand.de,,Brunckstraße 11,Speyer,hausverwaltung,pending
Hausverwaltung Zorn,,i.zorn@hausverwaltung-zorn.de,06359 9611778,,Grünstadt,hausverwaltung,pending
Immobilienservice Pfalz,,info@immobilienservice-pfalz.de,,Karl-Räder-Str. 5,Haßloch,hausverwaltung,pending
Hausverwaltung + Immobilien RV GmbH,,info@rv-hausverwaltung.de,06256 8598290,Viernheimer Str. 61a,Lampertheim,hausverwaltung,pending
IVB Treuhand,,verwaltung@ivbtreuhand.de,06206 1859533,Biedensandstraße 56,Lampertheim,hausverwaltung,pending
HSM Hausverwaltung,,info@hsm-verwaltung.de,06222 9480360,Ortsstraße 7,Wiesloch,hausverwaltung,pending
