Property: sc-domain:johnson-services.de  (verfügbar: https://johnson-services.de/, sc-domain:johnson-services.de, sc-domain:rebelzai.com)

=== Top querys (28d) — sc-domain:johnson-services.de ===
  pos   8.4 | clicks    1 | impr     14 | ctr  7.1% | entrümpelung mannheim kosten
  pos   5.0 | clicks    1 | impr      1 | ctr 100.0% | entsorgung unternehmen
  pos   7.7 | clicks    0 | impr      3 | ctr  0.0% | betriebsauflösung heidelberg
  pos  18.7 | clicks    0 | impr      3 | ctr  0.0% | entruempelung heidelberg
  pos  21.0 | clicks    0 | impr      1 | ctr  0.0% | entrümpelung
  pos  37.0 | clicks    0 | impr      1 | ctr  0.0% | entrümpelung adelsheim
  pos  70.2 | clicks    0 | impr      4 | ctr  0.0% | entrümpelung affinghausen
  pos  57.0 | clicks    0 | impr      1 | ctr  0.0% | entrümpelung alfhausen
  pos  42.0 | clicks    0 | impr      1 | ctr  0.0% | entrümpelung altshausen
  pos  65.8 | clicks    0 | impr      4 | ctr  0.0% | entrümpelung anderlingen
  pos  17.4 | clicks    0 | impr      5 | ctr  0.0% | entrümpelung aufträge heidelberg
  pos  53.3 | clicks    0 | impr      6 | ctr  0.0% | entrümpelung balje
  pos  49.0 | clicks    0 | impr      1 | ctr  0.0% | entrümpelung baltmannsweiler
  pos  39.0 | clicks    0 | impr      1 | ctr  0.0% | entrümpelung bobenheim-roxheim
  pos  42.0 | clicks    0 | impr      1 | ctr  0.0% | entrümpelung bockhorn
  pos  12.6 | clicks    0 | impr      7 | ctr  0.0% | entrümpelung einer messiewohnung mannheim
  pos  48.7 | clicks    0 | impr      6 | ctr  0.0% | entrümpelung heeslingen
  pos  19.4 | clicks    0 | impr    103 | ctr  0.0% | entrümpelung heidelberg
  pos   7.2 | clicks    0 | impr     11 | ctr  0.0% | entrümpelung heidelberg mannheim
  pos  15.3 | clicks    0 | impr     11 | ctr  0.0% | entrümpelung heidelberg walldorf
  pos  43.0 | clicks    0 | impr      1 | ctr  0.0% | entrümpelung hemslingen
  pos  87.0 | clicks    0 | impr      1 | ctr  0.0% | entrümpelung herzlake
  pos  52.2 | clicks    0 | impr      4 | ctr  0.0% | entrümpelung heyen
  pos  25.0 | clicks    0 | impr      1 | ctr  0.0% | entrümpelung hillerse
  pos  24.8 | clicks    0 | impr     29 | ctr  0.0% | entrümpelung in heidelberg

=== Top pages (28d) — sc-domain:johnson-services.de ===
  pos   9.7 | clicks    6 | impr    352 | ctr  1.7% | https://johnson-services.de/
  pos  22.8 | clicks    1 | impr     60 | ctr  1.7% | https://johnson-services.de/entruempelung/beste-entruempelun
  pos   7.6 | clicks    1 | impr    108 | ctr  0.9% | https://johnson-services.de/entruempelung/entruempelung-mann
  pos   9.3 | clicks    1 | impr      3 | ctr 33.3% | https://johnson-services.de/innenausbau/
  pos  47.3 | clicks    0 | impr    220 | ctr  0.0% | https://johnson-services.de/entruempelung/
  pos  18.9 | clicks    0 | impr    218 | ctr  0.0% | https://johnson-services.de/entruempelung/heidelberg/
  pos  21.1 | clicks    0 | impr    163 | ctr  0.0% | https://johnson-services.de/entruempelung/mannheim/
  pos   6.7 | clicks    0 | impr      3 | ctr  0.0% | https://johnson-services.de/entruempelung/ruesselsheim/
  pos  35.5 | clicks    0 | impr    119 | ctr  0.0% | https://johnson-services.de/haushaltsaufloesung/haushaltsauf
  pos  46.3 | clicks    0 | impr    289 | ctr  0.0% | https://johnson-services.de/haushaltsaufloesungen/
  pos  44.7 | clicks    0 | impr    456 | ctr  0.0% | https://johnson-services.de/umzuege/
